studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
vctoir Wiimllas,c,c,a,d,c,b,b,b,,
tyler Morrison,c,a,b,f,d,f,,,,
sdnraa Nirors,d,c,d,d,,,,,,
THOMAS Davis,a,a,b,d,b,,,,,
melissa Riuegodrz,b,f,c,f,,,,,,
COURTNEY Guerrero,d,d,d,c,a,b,b,,,
april Melsoy,b,b,c,c,d,c,,,,
Stephen ,d,d,b,f,f,c,b,,,
recceba Olson,d,b,d,a,f,,,,,
aealnrxda Ptoter,c,a,c,d,a,f,f,b,b,
BARBARA ,c,a,d,a,a,b,c,b,b,b
BAILEY Vasquez,a,a,b,,,,,,,
samantha Pacheco,f,f,f,c,d,a,a,f,a,
scott ,c,a,b,c,a,,,,,
Alejandro Wolfe,a,d,a,a,a,,,,,
naltaie Scrwhatz,a,b,d,a,f,,,,,
Edgar ,a,c,b,c,a,f,,,,
fred ,f,c,f,c,b,f,a,f,f,
Cstirhy Spencer,f,d,c,d,,,,,,
sacty Nguyen,d,a,a,d,c,d,,,,
klye Boeyr,b,d,c,,,,,,,
Darren Rmoreo,c,f,d,c,b,d,,,,
KATRINA Lee,b,f,d,a,c,,,,,
keith Grcaia,c,d,a,,,,,,,
ALYSSA Juarez,c,d,d,c,d,a,f,b,f,d
Lynn Griffin,f,a,c,c,,,,,,
kathy ,f,c,c,c,f,d,a,f,b,f
brandi ,d,d,c,f,d,f,f,,,
GRANT ,f,f,c,a,c,d,c,c,d,a
wendy Senachz,a,c,f,,,,,,,
loagn Douglas,f,d,d,a,c,d,a,,,
