studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
VICTOR Williams,a,c,b,,,,,,,
TYLER Morrison,d,d,c,f,d,d,,,,
Sandra Norris,c,b,c,f,f,c,a,a,c,b
THOMAS Davis,b,b,f,,,,,,,
melissa Rodriguez,c,c,a,b,d,f,d,b,c,
courtney Guerrero,a,f,f,b,b,b,b,a,,
apirl Mosley,b,b,a,f,f,a,d,,,
seepthn Tairvs,b,b,b,,,,,,,
rebccea Olson,d,a,c,f,a,d,d,d,,
aldanrexa Potter,c,b,f,,,,,,,
brrbaaa Esoirkcn,a,b,d,,,,,,,
Bailey Vuaeqsz,f,a,c,c,f,d,a,b,b,b
Samantha ,f,c,b,b,b,,,,,
SOCTT Sims,f,c,a,,,,,,,
Alejandro ,f,c,a,d,c,f,c,,,
ntiaale Sarcthwz,a,f,b,,,,,,,
edgar Cantu,a,f,a,,,,,,,
fred Welch,c,b,a,d,b,,,,,
CHRISTY Senepcr,d,c,b,f,d,a,f,,,
Stacy Nuyegn,c,b,b,b,,,,,,
kyle Boyer,b,b,b,a,,,,,,
DARREN Romero,a,c,a,b,,,,,,
Kntriaa Lee,d,c,a,a,b,c,,,,
Keith Garcia,a,f,c,b,f,,,,,
alyssa Juraez,f,d,b,a,d,c,,,,
LYNN ,d,f,b,a,c,d,b,f,c,
kthay Tivras,a,b,f,,,,,,,
brandi Verraallil,a,f,a,c,c,b,b,,,
Grant ,a,b,d,f,c,b,,,,
WENDY Sheacnz,a,b,b,f,,,,,,
Logan Douglas,d,b,c,d,c,b,a,d,,
