studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
CLINTON Nguyen,c,c,b,b,,,,,,
patrick Fulelr,f,f,f,b,c,b,c,c,,
jeffrey Brown,f,f,d,a,d,b,d,a,,
KRISTEN Lee,b,c,c,a,a,f,d,,,
Mcheial Martin,f,b,d,a,f,,,,,
Daniel Hrrreea,a,b,d,c,b,,,,,
CHARLOTTE Adams,f,a,a,,,,,,,
Brian Haowrd,f,f,b,,,,,,,
sherri Garza,d,d,c,f,c,f,,,,
KELLY ,a,d,f,c,a,a,,,,
Robert ,a,d,a,d,f,d,,,,
Cindy Parker,b,c,b,d,c,b,,,,
cody ,d,c,c,b,f,a,d,c,,
troy Seydnr,d,f,b,c,d,a,a,f,b,
LINDSAY ,c,f,b,f,f,c,d,,,
Deborah Maddox,c,a,f,a,c,f,c,d,b,
SHARON ,c,f,f,b,a,f,d,f,,
gina ,b,b,a,,,,,,,
Samuel Swanson,f,c,b,b,c,d,a,,,
alliosn Lamb,c,c,c,,,,,,,
GREG Barber,d,f,f,b,f,a,b,f,b,a
latoya Wright,c,d,b,c,,,,,,
Larry Mnritaez,b,d,c,a,f,a,a,c,f,c
DANIELLE Maelros,a,f,c,,,,,,,
KLAYA Fuller,a,a,f,f,f,f,f,,,
Evan Boyd,d,d,d,a,,,,,,
carolyn Leach,f,b,d,d,,,,,,
GARY Adams,d,f,f,,,,,,,
nathan ,b,a,d,c,a,b,,,,
GABRIEL Olson,b,d,b,b,f,b,,,,
Benjamin Harper,f,c,f,f,f,b,a,d,d,
geoffrey Andersen,b,a,d,f,b,a,a,c,a,
JANE Bnetnet,d,f,b,a,b,b,a,f,,
