studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
Sarah Ward,c,c,b,f,d,d,,,,
hatheer Wtsoan,f,b,a,f,a,b,,,,
MAGERART Rush,d,f,d,f,a,,,,,
Cassidy ,f,d,c,c,c,,,,,
tammy ,d,f,b,d,c,c,b,d,,
Craig ,b,b,d,c,b,f,b,c,,
riley Rivera,a,f,a,f,f,b,c,b,b,d
CSNTRIIHE Taylor,b,d,b,f,b,f,d,b,a,a
Adrian Price,b,c,c,d,f,d,f,a,,
Aaron Oliver,d,d,f,a,f,a,d,,,
Anna Orr,d,a,b,a,a,c,c,d,,
Deanna Brown,f,b,f,,,,,,,
Mihclee Mcdonald,d,b,a,d,c,,,,,
TARA ,a,d,a,b,f,b,b,d,d,
ROGER Greuerro,c,a,f,f,,,,,,
hector Potter,f,f,f,b,c,a,d,a,,
jake Howard,c,c,c,f,,,,,,
GLORIA ,c,a,a,a,b,f,c,c,,
Gabrielle ,a,a,c,b,d,c,a,d,d,b
iaisah Garza,f,a,c,f,c,b,f,a,a,c
clayton ,f,f,a,b,b,c,b,c,,
sally Crosby,b,a,b,c,a,f,f,c,f,f
SHAWN Odom,d,d,b,b,b,c,d,a,c,
marissa Jenos,f,a,c,b,d,b,d,,,
