studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
lance Capoms,b,a,f,,,,,,,
daen Garcia,a,c,c,d,a,f,f,c,b,
rebekah Sexton,b,a,d,b,d,a,c,c,c,
Anne King,b,c,a,,,,,,,
Carl Heprar,a,f,a,b,c,f,f,,,
RODNEY Patel,b,a,d,f,,,,,,
aembr Andersen,a,f,b,c,a,,,,,
Erin ,f,f,d,f,f,d,a,b,d,b
CAROL Mugicre,f,a,f,,,,,,,
Yolanda White,d,c,c,d,,,,,,
carrie Harrison,b,b,b,,,,,,,
DEVIN Contreras,a,a,d,b,b,f,b,b,a,a
ZACHARY Goodman,f,c,b,d,d,f,,,,
Tonya Chsae,c,c,b,c,d,,,,,
MOLLY Henderson,a,b,c,f,f,d,,,,
joan Daivs,a,f,d,f,c,d,a,f,,
Raymond Bneton,a,d,c,a,a,d,,,,
diana ,f,d,b,c,,,,,,
