studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
Lance ,c,c,f,a,d,a,a,c,f,b
DEAN Garcia,c,a,a,b,,,,,,
rabekeh Sexton,c,b,d,a,f,f,,,,
Anne King,b,f,c,f,b,a,,,,
carl ,a,c,d,f,c,,,,,
RODNEY Petal,b,c,b,f,d,f,c,a,f,
amber ,c,a,a,a,a,f,c,d,,
erin ,d,d,a,b,c,d,,,,
carol ,b,b,d,d,b,d,,,,
YOLANDA ,b,a,c,a,d,c,b,d,b,b
Carrie Harrison,c,c,c,a,c,d,b,,,
Devin ,f,d,a,c,b,d,f,c,b,
Zachary ,b,d,c,f,d,,,,,
tonya Chase,f,b,d,b,d,b,c,c,a,
molly Hdoesrnen,c,b,d,d,f,f,f,f,a,
JOAN Diavs,c,d,d,,,,,,,
Raymond ,f,f,a,f,a,,,,,
Diana Lawson,d,d,c,b,d,d,c,d,a,d
