studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
PETER Morgan,c,d,f,a,a,a,c,a,,
Martin Mphruy,c,d,d,d,f,a,c,c,,
dnnay Saonts,c,b,a,c,a,c,a,c,b,
erica Villarreal,b,d,f,c,a,c,c,,,
frank Bullcok,c,a,d,f,f,d,c,f,b,
Morgan ,c,f,b,d,a,f,f,,,
Ryan Ball,f,f,c,d,c,,,,,
KEVIN Downs,a,a,d,f,b,f,a,c,b,
BAODRNN Barnes,c,a,c,,,,,,,
michelle ,c,d,a,c,b,a,b,f,c,
DENISE Richardson,b,a,a,f,d,f,d,d,f,c
DREW Tomhspon,b,c,f,a,f,d,a,d,,
vickie Roheds,d,d,f,c,a,,,,,
emily ,f,c,c,c,d,d,f,c,d,
Diane ,a,c,b,c,a,c,a,d,,
cassandra Mann,a,a,b,c,,,,,,
janet Hlot,a,b,c,c,,,,,,
rhonda ,c,f,d,f,a,a,a,d,a,
gail Avila,a,b,f,f,f,f,f,c,c,a
George Edradws,a,f,b,a,b,f,a,f,,
Viarele Wiely,f,f,b,b,f,d,f,f,,
Bradley Dunn,c,d,d,c,c,a,c,f,a,d
ASHLEE Jackson,d,b,d,d,d,c,,,,
ABLERT Hayes,b,f,a,d,d,b,a,a,,
CLAIRE Phillips,b,f,a,d,c,f,f,,,
brendan Carey,c,b,d,f,a,b,f,a,,
FRANCIS ,c,b,b,f,a,a,,,,
ralph Clements,f,a,b,c,f,f,,,,
kellie Morrow,f,c,b,c,a,c,c,,,
