studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
clinton Nguyen,a,f,f,f,c,b,c,a,b,
patrick ,d,a,f,,,,,,,
jeffrey Brown,a,f,c,f,,,,,,
Kristen ,c,d,f,d,,,,,,
Michael Martin,c,a,c,c,,,,,,
Dneial Herrera,b,d,b,,,,,,,
CHARLOTTE ,d,a,b,a,b,,,,,
BRIAN ,a,c,c,d,f,f,d,a,,
Sherri Garza,a,f,f,b,b,d,b,,,
KELLY Clements,a,b,a,d,b,a,a,a,a,b
ROBERT ,c,d,c,c,a,,,,,
cindy ,f,a,d,f,b,c,c,b,a,
CODY Stone,d,d,f,,,,,,,
troy ,b,a,b,f,f,,,,,
lsidnay Harris,c,a,f,c,a,b,c,d,f,
drabeoh Moddax,d,f,d,f,a,b,,,,
SORAHN Bowen,c,c,c,d,c,f,a,c,,
GINA Reese,a,c,f,d,b,,,,,
SAMUEL Swanson,b,c,f,a,,,,,,
allison Lamb,c,b,c,f,a,f,a,f,f,a
GREG ,b,a,c,,,,,,,
Latoya Wright,a,f,a,b,d,,,,,
Larry Maietrnz,c,c,d,,,,,,,
Danielle ,a,f,c,a,c,,,,,
kayla Fuller,f,a,d,,,,,,,
EVAN Boyd,b,f,c,,,,,,,
Carolyn Lcaeh,c,a,d,a,b,d,f,a,f,b
GARY Amdas,a,d,f,a,c,,,,,
Nathan Blair,f,d,c,a,b,a,b,a,f,
gabriel Olson,f,b,d,b,d,a,b,f,d,d
BENJAMIN Harper,d,f,a,a,c,d,a,a,,
geofefry Andersen,d,a,f,d,b,,,,,
jane Bnetent,c,c,f,c,d,d,d,a,,
