studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
laura Boyd,c,d,f,a,d,b,b,,,
RACHEL ,d,b,f,b,a,a,f,c,a,
jordan ,c,a,b,f,b,f,c,f,,
patricia Perez,f,a,c,d,c,a,d,a,b,d
Mia Huang,b,f,d,c,a,d,d,d,b,
Tamara Pena,a,b,f,,,,,,,
Tiffany Ramos,c,b,d,b,b,f,a,,,
Klibmery Chang,d,d,a,a,a,c,b,a,c,d
jessica Ptstoraen,c,d,f,d,c,,,,,
JACK ,d,c,d,a,f,d,,,,
JEREMIAH ,c,b,d,a,c,d,f,d,,
Louis Greeiurtz,d,b,a,a,b,f,d,a,d,c
KREAN Gray,a,b,d,f,,,,,,
Galerd Psanors,b,b,a,c,f,,,,,
Melanie Dickerson,a,f,f,a,a,a,a,,,
Jonathon Fleming,a,d,c,d,b,f,,,,
Kritnisa Wllimais,a,f,c,a,d,b,f,c,,
Tina Singh,c,c,a,,,,,,,
Natasha Moore,f,b,b,b,c,d,b,c,f,c
doris ,f,a,c,a,a,f,c,,,
CRYSTAL ,f,a,f,f,f,f,c,f,a,
virginia Hall,f,f,d,d,a,d,,,,
Teresa Perows,d,a,b,b,f,d,b,d,b,
CELLEON Haung,c,c,c,,,,,,,
adrienne Stevens,f,b,c,f,a,f,c,b,,
katie Jensen,d,c,f,a,d,,,,,
Alexa Vasquez,b,d,d,f,d,,,,,
