studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
lncae Cpmaos,f,a,d,d,,,,,,
Dean ,c,d,d,c,d,d,,,,
Rebekah ,d,a,d,a,f,,,,,
ANNE ,f,c,c,f,f,b,f,,,
CARL Harper,a,b,c,a,,,,,,
rodney Patel,c,a,d,,,,,,,
amber Andersen,f,d,d,a,c,f,c,a,d,
erin Loaswn,f,d,d,,,,,,,
CAROL ,d,d,a,c,a,a,c,,,
YONLADA White,f,d,a,a,f,a,,,,
cirrae Harrison,a,c,c,d,,,,,,
devin Creanrtos,a,b,b,,,,,,,
ZACHARY Gooamdn,b,f,c,a,c,,,,,
TONYA Cashe,f,f,d,f,b,b,c,,,
Molly ,d,f,c,a,c,a,b,a,a,
Joan ,d,f,a,b,f,f,f,c,c,
RAYMOND ,a,c,b,,,,,,,
Daina Lawson,d,b,f,f,d,,,,,
