studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
victor Williams,b,d,a,b,b,c,,,,
Tyler Morrison,b,f,f,c,f,f,c,b,b,
Sradna Nriros,f,c,d,c,a,f,b,c,d,
thomas ,c,c,b,,,,,,,
Mlsesia Rodriguez,d,d,f,c,,,,,,
Ctnueory Guerrero,a,f,c,,,,,,,
April ,f,d,c,b,c,a,,,,
STEPHEN ,d,d,a,c,a,c,a,b,b,a
rcbeeca Olson,c,b,b,f,c,d,c,a,,
alexandra ,a,f,b,f,b,c,,,,
BARBARA Ersikcon,d,d,b,f,f,f,,,,
BAILEY Vuaesqz,c,d,f,d,d,d,d,a,c,f
Smhntaaa Pacheco,a,a,a,d,,,,,,
scott Sims,f,f,b,d,,,,,,
arnajledo Wlfoe,b,d,f,f,a,,,,,
Natalie Schwartz,f,f,b,d,a,,,,,
edgar Cantu,f,f,f,,,,,,,
Fred Wcleh,c,c,d,b,b,b,d,b,a,
christy ,c,b,a,b,d,,,,,
Stacy Nguyen,a,f,f,b,c,d,c,b,d,
kyle Boyer,c,c,a,c,a,,,,,
Darren Romero,b,a,d,a,b,a,d,d,c,b
KATNRIA Lee,d,c,a,,,,,,,
keith Gacira,c,a,c,a,a,d,,,,
Alyssa Jauerz,c,c,c,c,d,a,d,,,
lynn Griffin,d,a,f,d,a,d,a,b,,
Kathy ,f,f,b,f,b,,,,,
Bnadri Villarreal,c,f,d,a,b,f,b,d,a,c
Grant Wilkins,b,d,a,b,f,b,b,c,,
Wendy Sanchez,c,d,d,f,a,b,,,,
logan Douglas,a,a,b,c,a,c,a,f,b,
