studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
david Powell,d,a,a,d,f,a,c,a,b,f
Shannon ,a,a,d,a,c,b,f,,,
MARK Juarez,c,c,a,a,c,f,,,,
Joseph Powers,f,c,d,a,c,d,d,d,f,a
JUSTIN Creay,d,b,b,c,d,b,f,a,c,
MEAGAN Lnych,d,a,b,d,a,b,c,b,,
Feliica Perry,a,d,b,f,d,a,c,,,
KYLIE Cruz,d,d,d,a,,,,,,
JUDY ,d,f,c,,,,,,,
Edide Graednr,a,a,f,f,c,a,d,f,d,b
JAMIE ,f,c,d,d,b,f,d,a,b,
ANGEL ,c,b,b,f,,,,,,
Laeh Srotng,c,f,f,f,a,f,c,d,f,
daisy ,d,c,a,f,b,,,,,
ALEXIS ,d,a,c,f,f,f,f,a,d,c
johnny Frederick,b,d,a,,,,,,,
Marie ,c,c,d,f,c,a,b,d,,
Alexandria Santos,d,b,b,,,,,,,
Dvoen Mosley,c,d,b,f,d,f,b,b,c,f
TOMMY ,f,c,c,f,b,a,b,,,
ann Lopez,a,b,b,b,d,,,,,
