studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
Divad Peolwl,c,f,c,a,a,c,f,f,a,
shannon Jackson,c,b,c,f,d,d,b,d,c,
MARK Juarez,f,b,b,d,c,,,,,
Joseph ,f,c,d,c,,,,,,
justin Carey,a,d,f,a,b,,,,,
meagan Lynch,c,f,f,f,f,b,d,d,b,
Felicia Perry,f,c,d,d,c,f,d,c,a,a
KYLIE Cruz,f,a,d,f,a,f,,,,
judy ,c,b,f,b,b,b,b,b,,
EDDIE Gardner,b,a,d,a,c,a,f,f,,
JAMIE Dixon,c,d,d,d,c,a,c,b,,
Angel Keller,d,f,d,c,a,b,a,b,d,a
Leah Strong,c,f,c,c,f,f,b,a,c,
DAISY ,f,c,f,f,a,c,d,b,c,
alexis Stewart,a,c,d,f,a,d,b,b,f,a
johnny ,b,d,c,f,c,a,d,f,a,b
marie Green,b,b,a,,,,,,,
ALEXANDRIA Santos,f,d,a,c,c,f,b,b,,
Dveon Mosley,f,c,a,d,a,f,f,a,,
TOMMY Norman,a,d,a,d,b,f,c,,,
ANN Lopez,d,d,a,f,f,c,f,f,f,
