studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
angelica Kelly,a,b,a,a,b,a,,,,
Jiceqnuale Pcrie,c,f,f,b,a,,,,,
allen ,c,a,c,c,d,f,c,,,
AMANDA ,c,b,b,d,f,a,,,,
VICKI ,f,c,f,c,a,c,d,d,d,a
kara Geern,a,f,f,a,c,,,,,
jennifer Hall,a,a,a,a,a,d,b,d,c,
ROSS ,a,d,a,,,,,,,
tracy Sanchez,a,b,d,b,f,a,,,,
EVELYN ,d,c,c,c,,,,,,
MONICA Stevens,a,f,f,,,,,,,
wanda ,b,c,d,b,c,f,c,d,,
BANICA Crsboy,a,c,a,d,f,f,f,,,
trevor ,c,f,d,b,f,c,b,,,
MIKE Marshall,c,f,a,d,f,b,f,a,b,c
CHAD Yang,f,c,f,f,a,f,a,b,,
JESSE Pestron,d,b,b,f,c,b,c,,,
CONNIE Conner,c,b,f,c,a,a,f,b,f,
Jody Robbins,a,d,a,d,b,f,d,c,,
DNTEISY Kelly,f,d,b,b,f,f,a,f,f,f
Cynthia Glznaeoz,a,d,a,a,d,,,,,
brnet Campos,c,f,d,b,b,c,a,f,a,
meghan ,f,d,b,d,c,f,c,d,a,b
VIOCIRTA Mruphy,b,a,d,c,a,d,a,c,f,
LROI Carroll,f,a,d,d,a,a,b,d,c,f
donna Clark,c,d,b,,,,,,,
