studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
CLINTON ,a,b,c,,,,,,,
Patrick Fluler,d,f,a,a,a,a,c,a,b,
jeeffry Bwron,b,c,a,d,,,,,,
kristen Lee,d,f,d,f,d,d,a,,,
michael Martin,f,f,c,c,b,,,,,
DANIEL Herrera,d,b,d,d,d,d,d,d,b,a
COAHTLRTE Adams,b,b,d,a,c,,,,,
brian Harowd,f,c,f,a,b,a,c,b,b,
Sherri ,b,b,c,c,d,b,f,a,,
kelly Cemetnls,d,a,f,d,c,f,,,,
Robert Bennett,a,d,b,c,a,b,,,,
CINDY ,b,c,f,f,,,,,,
Cody Stone,b,c,a,,,,,,,
Troy Snyder,c,c,d,c,d,,,,,
lindsay ,f,c,a,c,c,a,,,,
DAOREBH Maddox,d,c,a,a,b,d,d,f,a,
sharon ,b,a,b,f,a,a,c,b,b,c
Gina Reese,c,a,c,b,f,a,,,,
Samuel ,f,d,d,c,a,f,,,,
allison ,d,a,d,a,b,d,b,a,,
GREG Barber,d,f,a,a,,,,,,
LATOYA Wright,a,d,a,a,d,c,d,f,c,
Larry Martinez,b,a,c,,,,,,,
dlnliaee Morales,f,f,d,,,,,,,
Kayla Fuller,b,c,c,d,f,,,,,
evan Boyd,c,f,b,b,f,b,a,c,c,a
CAROLYN Leach,c,d,d,d,b,a,,,,
GARY Adams,b,d,a,c,,,,,,
Nathan Balir,f,b,b,c,c,f,a,f,,
gabriel Oosln,a,c,b,b,,,,,,
BENJAMIN ,b,a,d,c,,,,,,
GEOFFREY Aesrdenn,f,b,a,b,f,c,d,b,,
Jane Bennett,d,b,f,c,a,d,a,d,,
