studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
Laura Boyd,b,f,d,c,a,b,a,,,
Rachel ,d,a,d,f,f,b,d,b,c,
JORDAN ,c,d,f,b,d,d,,,,
piitrcaa Perez,c,a,d,d,a,d,d,b,b,
MIA Huang,f,f,c,,,,,,,
TAMARA ,b,b,d,a,c,a,b,d,b,b
tiffany Ramos,a,b,f,c,a,b,a,f,f,d
Kimberly Chang,f,a,d,,,,,,,
JIECSSA Patterson,c,b,c,c,d,d,,,,
JACK ,f,c,a,d,a,b,f,,,
Jeremiah ,b,c,a,f,b,f,b,,,
Louis ,d,c,b,a,b,c,a,,,
karen Gray,a,f,b,,,,,,,
gerald Paornss,a,d,f,,,,,,,
melanie Dickerson,a,a,c,c,b,f,b,b,,
Jonathon ,d,a,c,f,b,b,b,f,f,
kirtsnia Williams,b,d,b,f,f,b,c,,,
tina Singh,a,d,d,f,d,d,,,,
Natasha ,a,b,b,b,c,f,,,,
Doris Powell,b,a,d,c,c,a,b,,,
Crystal ,a,c,c,f,c,,,,,
VIRGINIA Hall,a,a,a,f,a,c,a,f,b,
tersea Powers,d,c,a,d,a,,,,,
COLLEEN Huang,b,b,a,d,,,,,,
adrienne ,d,b,b,f,,,,,,
Katie Jnesen,f,a,f,a,f,,,,,
Alexa Vquasez,a,d,f,c,b,d,,,,
