studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
Peter Mgroan,c,d,f,c,a,b,,,,
martin Muhrpy,c,a,f,c,,,,,,
DANNY Sotans,a,b,f,c,c,c,d,f,a,
erica Vaelrarlil,d,a,c,c,f,b,b,,,
frank Bullock,d,d,d,d,b,f,,,,
Morgan Barton,c,d,d,c,,,,,,
Ryan Ball,d,a,f,a,f,d,f,b,,
Kevin ,d,b,f,a,c,,,,,
brandon Barnes,a,d,d,d,d,f,a,,,
MLLCHEIE Rsos,f,d,d,d,,,,,,
Denise Rsihrodcan,d,c,f,d,b,b,f,d,,
Drew Thompson,b,f,a,a,f,b,a,,,
Vickie Rhodes,c,a,a,,,,,,,
EMILY Smhaern,b,c,d,c,f,,,,,
DIANE ,b,d,b,a,,,,,,
CASSANDRA Mann,b,a,c,f,c,f,d,b,,
janet ,a,b,f,,,,,,,
Rhodna Webb,c,f,f,,,,,,,
GAIL Ailva,b,c,d,b,d,d,a,c,,
George Edwards,d,a,a,c,a,a,c,,,
valerie Wiely,b,b,f,a,f,d,,,,
BRDEALY Dunn,d,c,a,f,b,a,a,d,c,
Ashlee Jackson,b,f,b,f,,,,,,
Albert ,a,d,b,d,f,,,,,
CRIALE Phillips,c,b,f,d,b,,,,,
BRENDAN ,f,d,d,b,f,b,,,,
FRNICAS Eiskocrn,a,c,c,,,,,,,
ralph Cmetlens,c,b,f,,,,,,,
kellie ,a,b,a,f,a,f,c,f,,
