studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
David Pwleol,f,a,a,d,b,f,c,d,c,b
Shannon Jackson,b,a,b,d,f,d,,,,
Mark Juarez,d,a,a,a,,,,,,
Joseph ,c,b,c,c,d,,,,,
JISTUN Carey,c,f,b,a,a,a,d,b,b,
Meagan Lynch,b,d,f,f,,,,,,
feicila Perry,d,a,d,b,f,b,c,d,,
KYLIE Cruz,a,a,f,,,,,,,
JUDY Cerotz,d,d,d,f,b,d,f,,,
EDDIE ,f,c,a,,,,,,,
Jamie Doxin,a,d,b,f,f,d,,,,
angel Keller,c,d,f,d,c,d,b,d,d,
leah ,c,f,b,d,d,c,f,,,
daisy Morrison,c,a,c,,,,,,,
ALEXIS ,f,b,b,b,b,b,b,,,
JOHNNY Frederick,f,d,d,b,c,d,,,,
MARIE Geern,f,d,d,c,d,b,b,b,b,
Alexandria ,f,c,a,a,b,c,a,b,b,
devon Mseoly,d,d,a,f,f,c,c,b,,
TOMMY Noamrn,a,c,a,a,c,d,c,f,,
ann ,c,b,f,b,b,f,,,,
