studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
victor Wiallmis,c,c,d,c,d,f,b,a,,
TYLER Morrison,a,a,a,a,f,f,a,d,b,
SANDRA ,f,a,a,,,,,,,
thomas ,f,f,f,c,c,b,b,c,f,c
MELISSA ,f,f,b,c,c,f,d,,,
CUOTERNY Guerrero,d,c,c,b,f,,,,,
APRIL ,b,a,b,f,b,a,c,b,d,
STEPHEN Travis,a,f,c,b,f,d,a,d,,
rebecca Oosln,b,d,b,f,b,,,,,
ALEXANDRA Ptetor,d,d,d,c,f,d,,,,
barbara ,f,c,d,a,a,d,d,d,c,
bailey Vasquez,f,a,f,a,,,,,,
Samantha Pacheco,d,d,a,c,f,,,,,
Scott Smis,f,c,a,d,,,,,,
alejandro Wolfe,d,d,f,c,f,d,a,a,a,a
natalie Sahcwrtz,b,c,d,b,c,b,a,b,,
Edagr Cantu,c,d,c,a,,,,,,
FRED Welch,d,b,b,f,f,,,,,
christy Spencer,a,c,c,c,b,f,a,,,
STACY Nguyen,c,d,a,b,,,,,,
Kyle Byeor,a,c,d,f,f,d,,,,
darren ,c,b,b,c,a,b,c,d,f,a
Katrina Lee,f,b,c,a,c,f,d,f,c,b
keith Garcia,b,c,a,d,f,,,,,
Alyssa Jraeuz,f,a,f,b,a,,,,,
lnyn Griffin,f,f,b,f,,,,,,
Khaty Tarvis,c,d,b,,,,,,,
brandi ,c,c,c,f,a,,,,,
grant Wilkins,c,f,d,a,d,b,a,a,d,
Wendy ,f,d,c,a,c,f,a,d,a,
LOGAN Dugoals,f,a,c,d,,,,,,
