studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
LAURA Boyd,d,a,b,f,f,,,,,
rhcael Thomas,a,d,b,c,a,d,a,f,,
jordan ,a,a,b,,,,,,,
Patricia ,d,b,c,c,a,d,a,a,b,
Mia ,d,c,a,b,b,d,,,,
Tamara ,b,f,c,b,f,d,c,,,
Tiffany Ramos,c,d,b,c,d,d,c,d,,
KIMBERLY Chang,a,d,b,d,f,b,b,a,d,c
Jssieca Patterson,f,d,d,a,c,d,c,b,a,
Jack Hfamofn,c,d,b,,,,,,,
jrmeaieh Lane,d,d,f,b,,,,,,
LOUIS ,a,b,f,d,d,b,b,f,c,
KAREN Gray,f,d,a,d,a,,,,,
Glaerd Parsons,d,a,c,,,,,,,
Melanie Dickerson,a,c,f,c,c,f,a,b,b,
JONATHON Fmnlieg,c,a,d,c,d,c,,,,
kristina ,c,b,b,b,c,c,,,,
TINA Singh,f,d,f,d,d,a,,,,
Natasha Moore,f,c,b,c,d,a,d,b,,
doris Pleowl,a,a,a,a,b,b,,,,
CRYSTAL Ramirez,b,c,b,a,d,,,,,
Virginia Hall,f,b,b,f,c,b,d,a,b,
Teresa ,b,f,a,c,f,a,b,a,c,a
colleen Huang,a,b,f,c,c,c,d,a,a,f
ADRIENNE Svneets,b,a,c,,,,,,,
KATIE Jensen,a,d,a,c,c,b,a,f,d,
ALEXA Vquaesz,a,f,f,f,f,,,,,
