studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
rbion Wiley,f,a,d,d,b,a,d,f,,
Vorineca Boyer,c,b,b,d,b,d,f,a,d,d
susan Gonzalez,a,b,a,,,,,,,
AHTNONY Henderson,c,c,f,a,b,f,c,,,
joshua ,d,b,b,b,,,,,,
glen Hernandez,a,a,c,b,f,,,,,
Curtis Dunn,c,b,c,d,f,c,,,,
Alicia Frederick,a,d,f,,,,,,,
LAUREN ,a,c,c,f,b,,,,,
Nicholas ,c,f,d,f,c,c,f,,,
HNANAH Boetnn,a,d,f,,,,,,,
KELSEY Fields,f,a,c,a,a,a,d,c,d,
Jared ,c,f,b,f,c,a,a,b,,
BOBBY Lopez,a,a,a,b,b,f,f,b,c,d
TTHAIBA Liu,d,c,a,b,,,,,,
JULIE Calrk,f,f,d,c,a,,,,,
MTSIY Douglas,d,f,b,d,f,f,a,d,a,
Tracey Hudson,c,c,a,c,a,d,f,f,,
Klaethen Levy,f,b,f,,,,,,,
rehaacl Pirnce,f,f,f,d,d,c,f,,,
Brittany Winters,d,b,f,c,d,d,d,d,f,d
Jon ,f,d,a,d,c,f,b,b,a,a
Austin ,d,a,b,b,a,c,d,b,a,c
Gregory Kennedy,c,c,d,f,f,,,,,
KATHERINE Benjamin,b,a,d,c,,,,,,
biendla Curry,b,d,f,c,a,b,a,d,,
Lindsey Gordon,f,a,d,,,,,,,
colars Bird,a,b,c,f,d,c,b,d,d,
Rniega Mrogan,c,c,b,f,f,c,b,d,b,
WHITNEY Huabrbd,d,d,c,f,a,,,,,
andre Bullock,a,b,f,a,b,d,b,d,d,a
Edward Barton,f,b,c,f,c,c,f,a,a,c
