studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
AMY ,b,b,c,a,d,a,,,,
Kaitlyn Orr,a,c,f,a,b,c,a,d,,
angela ,c,c,f,a,b,a,f,,,
rcaihrd Phillips,f,c,b,c,d,f,f,f,a,a
LISA ,a,f,d,b,d,f,,,,
KRISTINE Oodm,c,a,a,f,f,f,,,,
megan ,c,f,f,b,d,d,b,f,,
Kenneth ,f,f,f,a,d,d,,,,
CHRISTINA ,f,f,a,c,,,,,,
Nicole ,c,c,c,,,,,,,
Hunter ,b,c,d,,,,,,,
CLIFFORD Mayo,c,c,c,f,d,b,,,,
trvias Warren,a,b,a,c,b,c,,,,
Jocelyn Brotun,f,f,a,a,b,d,,,,
BECKY Nsah,f,c,d,b,c,c,c,d,,
ashley Hart,b,a,d,b,,,,,,
Caleb Reid,c,c,b,d,,,,,,
Abgaiil Mclaughlin,b,c,d,c,,,,,,
CAITLIN Nroris,c,d,d,a,f,a,f,b,b,
DENNIS Day,f,b,f,a,d,,,,,
JILLIAN Hernandez,d,a,c,d,b,c,d,d,,
ellen Sexton,c,b,a,b,f,a,b,,,
Shane Perez,b,c,f,f,d,b,a,a,c,
eric Baker,d,c,d,d,f,b,b,b,c,b
clarence Raoms,a,b,f,f,d,f,c,a,,
kathryn ,b,a,c,a,b,b,c,d,,
