studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
Christopher Singh,d,d,b,d,f,c,,,,
STEVE ,f,f,f,a,c,b,d,a,b,
aelx Maeorls,b,c,f,f,a,f,,,,
Marcus Moore,d,f,d,f,c,d,d,f,,
Miara Mcdonald,a,f,d,a,,,,,,
Catherine ,a,f,b,b,a,d,f,c,f,
renee ,f,f,c,,,,,,,
wayne Mrorow,a,b,b,c,d,f,d,d,,
MIRANDA Ayers,d,c,f,c,b,d,a,c,d,d
JACOB Graham,c,f,c,,,,,,,
Jay Steele,f,f,b,c,f,,,,,
Harold Myers,f,f,d,,,,,,,
TYAOLR Osborne,f,b,f,b,b,f,d,a,b,
hloly Spsimon,b,c,f,c,a,,,,,
Pual Wlles,b,b,f,d,d,c,a,a,f,a
phillip Hkwinas,c,d,c,f,b,a,d,c,,
rnalod Sandrues,b,a,a,f,c,b,a,d,b,d
Laucs Lweis,f,c,a,d,f,,,,,
Pam Ceatrr,d,c,b,d,d,c,,,,
FAITH Msos,b,f,c,a,f,f,,,,
sheila ,b,d,a,a,,,,,,
sean ,d,b,d,a,c,d,a,d,,
dana Patel,d,c,a,b,d,c,c,a,a,
CARLA Liu,b,f,d,d,a,d,c,d,b,b
Krystal ,c,c,c,,,,,,,
Javier Parker,b,f,f,a,c,a,b,d,,
