studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
laura Boyd,a,f,b,f,f,d,b,d,,
rachel Thomas,d,d,d,,,,,,,
jordan ,d,d,d,c,d,c,b,b,,
Patricia Perez,f,f,c,f,a,f,c,d,a,
mia ,b,b,d,f,c,c,c,,,
taarma Pena,f,b,b,d,c,a,b,c,a,
Tiffany ,c,d,f,,,,,,,
kimberly Cnhag,b,f,b,a,d,c,b,,,
JESSICA Patterson,b,b,d,c,,,,,,
Jack Hfoamfn,a,b,f,a,a,,,,,
Jeremiah Lane,f,b,a,b,d,b,,,,
LOUIS Gieeurrtz,a,b,c,a,a,f,d,c,,
karen Gary,f,f,c,b,f,b,d,,,
GERALD Parsons,d,b,c,a,d,,,,,
melanie ,b,f,c,c,b,d,b,,,
JNTOOHAN Fleming,c,d,f,c,c,d,,,,
KRISTINA Williams,d,f,f,,,,,,,
tina Singh,d,d,b,f,f,d,f,b,b,
NATASHA ,f,f,a,d,a,a,b,c,,
DORIS Powell,f,c,d,f,f,a,b,a,,
Ctsyarl Raimerz,a,d,a,a,c,a,b,d,a,
VIRGINIA Hall,c,a,d,,,,,,,
Teesra Powers,f,a,b,c,c,d,d,c,d,
colleen Hunag,c,c,d,c,f,b,f,b,f,a
Anenride Steevns,f,f,d,d,d,a,a,c,c,f
KTAIE Jseenn,b,d,b,a,a,a,b,b,,
alexa ,d,f,a,a,b,,,,,
