studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
Vticor Williams,d,a,d,c,b,,,,,
TYLER Morrison,b,a,a,a,b,c,,,,
Sandra Nrrios,a,f,d,d,c,a,c,f,f,a
tmaohs Davis,b,a,d,,,,,,,
MSILESA Rodriguez,f,d,d,,,,,,,
Courtney ,d,d,d,f,a,f,b,c,,
april Mosley,c,d,d,c,b,d,f,b,,
stephen ,d,b,b,a,b,c,d,b,,
RCCEEBA Olson,d,c,d,c,,,,,,
ALEXANDRA Potter,c,d,b,c,a,a,c,c,d,
barbara Erickson,b,c,a,c,a,f,a,a,,
Bailey Vasquez,d,c,f,a,d,a,d,b,c,
SAHMTANA Pacheco,f,f,f,b,f,a,f,d,,
Stcot Sims,a,b,d,c,f,a,f,f,d,b
alejandro Wolfe,c,a,a,d,,,,,,
niltaae Srchawtz,a,c,b,,,,,,,
Edgar ,c,d,b,f,c,d,b,b,b,
Fred Welch,c,b,f,d,f,f,,,,
CIRHTSY Snecper,c,b,d,d,b,d,b,,,
STACY Nguyen,d,c,f,f,c,f,d,,,
Kyle Boyer,f,f,c,c,c,c,,,,
Darren Romero,b,f,d,d,c,f,,,,
Kanitra Lee,a,c,f,b,d,c,b,d,d,
KEITH Garcia,a,d,d,f,c,c,f,a,d,c
Alyssa ,f,b,c,b,d,c,a,b,b,d
Lynn Griffin,a,c,b,,,,,,,
Kathy ,b,a,d,f,b,d,,,,
brdnai Villarreal,b,c,b,,,,,,,
GANRT Wkiilns,d,a,b,f,f,d,d,,,
Wendy Sanchez,a,f,d,f,,,,,,
logan Douglas,b,a,c,d,f,a,d,,,
