studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
Lance Campos,a,c,c,a,d,c,d,b,b,
dean Giacra,f,c,c,d,b,,,,,
rebekah Stexon,c,a,c,d,,,,,,
ANNE King,b,f,f,d,b,d,c,b,,
CARL Haerpr,d,b,b,a,d,,,,,
rednoy Patel,f,b,a,a,b,a,d,d,c,
Amber Andersen,a,d,c,,,,,,,
EIRN Lawson,d,b,f,b,b,,,,,
Carol Micgure,d,b,d,c,a,d,c,a,d,
Yolanda ,d,b,b,b,a,d,,,,
Carrie ,f,c,d,d,c,d,d,a,,
DEVIN ,f,a,d,f,b,,,,,
Zachary ,a,d,c,c,b,,,,,
tonya Chsae,a,b,a,f,c,c,a,a,c,
MOLLY ,d,b,c,a,f,,,,,
Joan Davis,d,a,b,d,c,d,b,c,,
RMAOYND Benton,d,a,d,c,d,,,,,
DANIA Loaswn,d,b,a,b,a,d,d,a,c,b
