studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
SARAH Ward,a,c,d,c,b,c,a,f,a,
Heather ,c,a,f,c,c,f,a,,,
Margaret ,a,d,a,c,f,f,b,b,a,
Cassidy Duncan,d,c,d,b,a,d,b,c,,
TAMMY Clndaher,a,b,a,c,,,,,,
craig Everett,d,f,c,c,b,a,d,c,f,
REILY Rivera,a,f,d,b,c,b,a,a,,
christine Tloyar,a,a,d,f,,,,,,
ADRIAN ,d,a,b,b,d,d,c,,,
AARON Ovlier,c,a,d,f,d,f,d,d,,
ANNA Orr,b,d,c,f,f,d,f,b,,
DNNEAA Brown,c,c,b,b,,,,,,
mlhecie Mcdonald,f,b,b,,,,,,,
TRAA Rrdegiouz,b,a,f,c,a,c,d,c,,
Roger ,c,a,a,c,f,d,a,a,b,
Hector Potter,d,d,b,d,f,c,f,b,b,
JKAE Howard,d,b,a,b,a,,,,,
Gloria ,b,b,d,d,b,f,,,,
Gabrielle Pena,d,c,b,a,c,a,b,a,d,
Isaiah Garza,a,d,f,,,,,,,
CLAYTON Kim,b,c,c,a,b,d,d,c,,
Sally ,b,f,c,c,,,,,,
SHAWN Odom,b,f,f,f,a,a,d,f,,
MARISSA Jones,f,f,f,d,d,a,c,,,
