studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
robin Wleiy,d,d,c,d,,,,,,
veronica Boyer,a,b,f,d,c,f,,,,
SSAUN Gonzalez,a,a,d,f,b,c,,,,
Anthony ,b,a,c,d,b,,,,,
joshua Sretawt,f,d,f,f,f,a,f,,,
Glen Hernandez,c,a,c,c,c,a,a,a,d,
curtis Dunn,d,f,a,a,d,f,d,a,,
ALICIA ,c,d,a,c,d,,,,,
Luraen Hayes,f,c,b,f,f,a,b,c,d,
NICHOLAS Blair,d,a,c,b,d,f,c,d,,
Hannah ,f,d,f,f,b,c,b,a,,
Kelsey Fldeis,c,f,a,b,a,,,,,
jared ,f,b,c,b,f,b,f,a,f,b
Bobby Lpeoz,b,c,a,b,c,d,,,,
TABITHA Liu,c,a,c,f,c,,,,,
JULIE Clark,b,c,f,f,a,c,b,b,,
MISTY Douglas,d,b,b,f,c,d,,,,
TRACEY ,a,a,c,b,f,f,,,,
KATHLEEN Levy,b,d,b,d,a,f,d,,,
Rachael Prince,f,b,b,a,f,,,,,
BRITTANY Wtierns,c,a,c,c,f,d,a,a,b,a
JON Eaotn,c,a,c,a,c,a,b,f,d,
AUSTIN ,c,a,c,b,d,c,b,,,
GREGORY Kennedy,b,a,a,b,b,f,,,,
Knhraeite Bianmejn,c,a,f,d,b,a,b,a,,
blendia Curry,d,b,f,f,c,,,,,
lindsey Gordon,d,a,f,f,b,f,,,,
CARLOS Bird,d,d,b,a,c,f,a,b,b,
REGINA Morgan,d,c,c,b,c,a,c,d,d,c
WITENHY Hubbard,b,f,d,,,,,,,
andre ,b,c,d,f,b,f,a,d,b,
EDWARD ,f,b,b,a,a,a,a,f,,
