studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
COSTHHRPEIR Sgnih,b,b,a,b,,,,,,
Svtee Romero,c,d,a,f,f,d,f,d,,
Alex Morales,c,c,b,c,b,b,,,,
marcus ,a,d,b,f,,,,,,
Maria Mcdonald,a,f,f,f,c,f,a,f,f,
CETNRAIHE Ramirez,a,c,b,a,,,,,,
Renee ,c,c,a,f,a,b,f,,,
wayne Morrow,a,f,c,d,b,f,d,a,,
Mdnaira Ayers,a,d,f,c,,,,,,
Joacb Graham,a,d,f,a,d,,,,,
Jay Seltee,a,a,c,c,f,d,f,f,,
Harold Myers,a,d,d,a,d,f,,,,
Taylor ,a,c,f,,,,,,,
hloly Spsiomn,b,a,a,c,c,,,,,
pual Wells,a,c,f,f,d,c,f,d,b,
phillip Hawkins,b,f,c,d,a,f,c,d,a,b
RONALD ,a,d,a,f,d,c,b,a,,
Lucas Lewis,f,f,f,c,,,,,,
Pam ,d,f,c,d,,,,,,
faith Moss,f,a,b,d,f,f,c,b,b,d
sheila Martin,c,d,f,a,f,b,c,,,
SEAN Fields,c,f,a,a,b,,,,,
dana Patel,f,d,b,f,b,d,,,,
Calra Liu,d,f,d,d,d,b,c,,,
Krystal Peterson,b,d,a,,,,,,,
Javier Pkerar,d,b,b,,,,,,,
