studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
Clinton ,a,b,b,f,a,a,c,a,,
PATRICK Fuller,f,a,c,b,b,b,c,b,a,
Jferefy Brown,b,f,d,,,,,,,
Kristen Lee,f,b,f,d,,,,,,
Mehcail Martin,b,c,b,c,b,b,b,d,b,b
DANIEL Herrera,f,c,b,a,a,,,,,
CHARLOTTE Adams,b,d,a,f,c,f,b,f,c,
brian Howard,d,f,b,b,,,,,,
SHERRI Garza,d,f,a,c,b,b,b,d,,
KELLY ,f,b,c,,,,,,,
robert Bennett,d,d,a,f,d,b,a,c,,
cidny Parker,d,a,b,c,a,d,f,,,
cody Stone,b,f,b,f,d,,,,,
Troy Snyder,f,b,d,f,c,f,b,b,,
LINSADY Harris,b,b,c,d,d,a,,,,
deborah Maddox,f,a,d,b,,,,,,
SHARON Beown,f,f,a,c,,,,,,
GINA ,b,c,b,,,,,,,
Samuel Swanson,c,f,a,d,b,f,,,,
Aliosln Lamb,a,b,d,,,,,,,
Greg Barber,a,f,c,,,,,,,
LOAYTA Wright,d,c,c,b,b,c,b,d,b,
larry Martinez,a,a,f,a,c,b,d,,,
DANIELLE Morales,c,d,c,d,c,f,f,c,,
kayla Fuller,d,b,b,b,d,c,f,d,f,
evan Boyd,c,f,d,,,,,,,
CALYRON Leach,a,c,b,f,a,a,c,f,,
Gary Adams,c,b,b,c,f,c,a,,,
NATHAN ,b,f,f,a,b,a,b,f,f,
gabriel ,d,b,f,,,,,,,
Benjamin ,c,c,d,b,a,f,c,,,
Geoffrey Andersen,d,f,d,d,d,a,d,,,
Jane Bneetnt,b,d,c,b,c,d,c,,,
