studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
Angelica Kelly,f,a,c,,,,,,,
Jacqueline Price,d,b,c,c,a,f,d,d,c,b
Allen Day,d,a,f,b,c,d,b,,,
Amanda Moss,b,a,f,f,d,f,,,,
VICKI ,a,a,a,,,,,,,
kara Green,a,a,f,a,,,,,,
Jennifer ,a,a,f,d,f,,,,,
ROSS ,b,c,d,d,b,b,,,,
Tracy ,c,b,d,c,a,f,d,a,,
EVELYN ,b,c,b,a,,,,,,
Monica Stneevs,d,f,d,d,c,,,,,
WANDA ,f,c,d,c,a,d,c,d,b,
Binaca Crbosy,b,b,f,f,a,,,,,
TROEVR Weehler,c,f,d,d,f,c,b,c,d,
mkie Marshall,a,b,a,c,f,c,,,,
chad Yang,b,b,b,a,f,c,a,,,
Jesse ,b,b,d,d,c,d,b,d,b,f
Connie Conner,a,b,b,c,,,,,,
Jody ,d,b,d,c,d,c,c,a,,
destiny ,b,b,a,b,f,a,f,,,
cynthia Gonzalez,d,f,a,c,c,d,b,c,c,f
brent Campos,a,c,b,d,c,d,c,d,,
Meghan Thomas,d,c,f,a,a,d,,,,
Victoria Muhpry,f,f,d,b,a,d,a,c,b,b
lori Carroll,a,f,f,d,f,b,c,,,
Donna Crlak,f,f,c,d,c,,,,,
