studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
LAURA Boyd,d,c,b,f,d,c,,,,
rachel Thomas,a,b,c,,,,,,,
jordan ,f,a,c,d,c,b,d,d,c,c
Pricatia Perez,f,d,f,,,,,,,
mia Huang,a,f,a,a,f,,,,,
Tamara Pena,d,f,a,f,d,,,,,
tiffany Rmoas,c,c,f,a,c,,,,,
KIMBERLY Chang,b,f,a,a,d,,,,,
JESSICA Patterson,f,a,d,c,,,,,,
JACK Hamfofn,a,b,a,a,d,f,f,f,,
Jeremiah ,f,c,a,f,c,b,f,f,,
louis Gitreeurz,a,c,c,a,f,a,d,,,
karen ,f,a,d,b,a,b,a,,,
gerald Poarnss,d,b,c,c,f,d,,,,
MELANIE ,d,c,a,a,f,a,c,a,a,
Jonathon Fleming,d,c,c,f,c,c,a,c,b,
kristina ,d,c,b,f,b,a,c,f,c,
tina Snigh,b,a,f,a,b,d,c,d,f,
Natasha Moore,f,b,b,f,,,,,,
DROIS Powell,f,a,d,b,d,d,b,b,a,f
Castryl Ramreiz,a,c,d,f,b,c,b,,,
VIRGINIA Hall,d,d,a,,,,,,,
Teresa Perows,d,f,c,a,a,,,,,
colleen Huang,b,f,b,a,f,a,f,d,,
ADRIENNE Sevnets,f,b,f,b,,,,,,
Katie Jensen,b,b,b,,,,,,,
alexa Vasquez,f,f,a,c,d,a,a,d,,
