studentName,test0,test1,test2,test3,test4,test5,test6,test7,test8,test9
Lance Campos,d,f,d,,,,,,,
Dean Garcia,d,f,a,b,b,d,a,,,
rebekah ,a,a,c,f,f,f,f,,,
ANNE ,c,c,f,d,c,f,,,,
Carl Haeprr,c,b,a,c,,,,,,
rodney ,d,c,a,f,f,,,,,
AMBER Andersen,d,a,a,d,d,b,f,,,
Erin Lawson,b,d,a,,,,,,,
CAROL Mcguire,b,a,c,c,d,a,f,c,c,
Yolanda White,f,c,d,c,,,,,,
Crraie Hrarison,b,f,a,f,d,,,,,
Devin ,d,b,f,b,b,,,,,
Zachary Goodman,a,f,d,f,d,c,c,c,c,
Tyona Chase,f,a,f,,,,,,,
molly Henderson,d,a,d,c,a,b,a,f,c,b
JOAN Davis,b,d,d,b,f,,,,,
raymond Benton,d,a,d,,,,,,,
Diana Lawson,c,c,a,b,,,,,,
