firstName,lastName,birthdate,year,phone,studentEmail
Victor,Williams,2015-05-28,2,(300)504-7735x2585,woodmaria@simpson.com
Clinton,Nguyen,2009-06-14,8,+1-197-194-8511x91490,sluna@joyce-baxter.org
Robin,Wiley,2007-01-01,10,351-195-1461,nbowers@hotmail.com
Veronica,Boyer,2007-02-17,10,4831176995,amitchell@hotmail.com
Christopher,Singh,2008-05-16,9,413-297-5531x27543,kelleymichael@matthews-martinez.com
Angelica,Kelly,2013-01-19,4,177-250-7679,
Steve,Romero,2008-07-24,9,(844)665-8905x6687,jane51@doyle-williams.com
Tyler,Morrison,2015-05-01,2,(028)297-1003,znelson@diaz-williams.info
Susan,Gonzalez,2007-06-03,10,087.585.8375x30237,mjackson@gmail.com
Jacqueline,Price,2013-08-04,4,(165)522-0650x1232,
Amy,Oliver,2014-11-10,3,(580)325-0576,jorge62@hotmail.com
Sandra,Norris,2015-02-17,2,001-432-446-2100x708,hwalls@gmail.com
Anthony,Henderson,2007-01-17,10,+1-155-701-8233x8602,carolhogan@gmail.com
Alex,Morales,2008-11-26,9,331.959.8089x56130,
Allen,Day,2013-08-23,4,+1-088-204-1451x60906,hannah52@johnson.info
Patrick,Fuller,2009-08-24,8,(654)365-0113x0147,meganyoung@elliott.com
Amanda,Moss,2013-10-19,4,151.114.4864x333,
Kaitlyn,Orr,2014-02-01,3,+1-364-227-6074x33828,
Thomas,Davis,2015-11-11,2,(253)521-4569,gwright@martinez-watkins.com
Jeffrey,Brown,2009-03-25,8,547.226.7897x384,leebrandon@yahoo.com
Lance,Campos,2016-02-29,1,(985)224-6656x53977,bowerscynthia@rogers-collins.biz
Joshua,Stewart,2007-11-13,10,001-765-622-4870,
Laura,Boyd,2012-07-08,5,+1-040-357-3524x71751,anitaferguson@gmail.com
Marcus,Moore,2008-01-21,9,4100211383,hamiltonrebecca@bruce-spencer.com
Kristen,Lee,2009-01-17,8,(725)483-3314x496,
Maria,Mcdonald,2008-05-20,9,1008865615,brittany96@williamson-myers.com
Glen,Hernandez,2007-03-21,10,9944590674,
Curtis,Dunn,2007-10-02,10,001-295-882-1168,michaelbrown@perez-lee.com
Alicia,Frederick,2007-06-11,10,901.669.4703x7840,
