firstName,lastName,phone,email,title,startDate,salary,department
Andrew,Smith,001-163-586-8656x90879,lacey86@gmail.com,teacher,2013-05-28,84450,english
Jonathan,Hunt,013.268.6003x413,zowens@ewing.com,teacher-in-training,2005-06-22,84165,physics
Annette,Ali,+1-300-007-0182,jmccormick@bryant-miller.info,teacher,2013-11-22,28610,spanish
Cory,Vaughan,8815498858,esanchez@farrell.net,teacher,2017-12-03,54323,physics
Debra,Allen,001-483-134-3215,rebeccabuck@gentry.biz,teacher,2018-07-08,30714,spanish
Steven,Walton,9491507417,martincobb@campbell.com,teacher-in-training,2016-12-13,78307,english
Mary,Bridges,478.840.2473,ann98@yahoo.com,head teacher,2008-07-23,74571,spanish
Seth,Fisher,(893)921-0326x8545,williamsadam@thompson.com,head teacher,2012-09-23,44820,spanish
Tony,Farmer,7774185431,zachary19@martin.com,teacher,2005-08-31,74786,geography
Charles,Gaines,001-542-900-6826x03328,jilljohnson@novak.com,teacher-in-training,2013-10-22,36108,spanish
Shelby,Munoz,001-573-273-7064,clarenceflores@pierce-williams.net,teacher-in-training,2007-10-04,41893,history
Dorothy,Klein,001-696-635-3783,michaelwiggins@escobar.com,teacher,2002-02-16,38785,history
Juan,Owen,(286)761-9053x8475,jasonpalmer@hart.com,head teacher,2018-02-04,31768,p-e
William,Dominguez,018.200.8678x8461,deborah91@yahoo.com,teacher,2016-10-29,29011,history
James,Cooper,001-996-190-9604,cooktheresa@lam.biz,teacher,2014-01-02,71349,english
Dawn,Mcfarland,(406)366-3829x8898,fprince@reeves.com,head teacher,2020-09-02,34362,english
Pamela,Cobb,413-880-3618x0052,jennifervance@hamilton-vazquez.net,teacher,2018-10-20,37877,english
Matthew,Campbell,(425)039-7667,calhoundaniel@knox.com,teacher-in-training,2019-04-30,25754,spanish
Anita,Young,+1-111-840-1788x29959,ashley05@yahoo.com,head teacher,2005-03-13,47591,geography
Donald,Melendez,6744400532,loretta21@gmail.com,teacher-in-training,2005-06-10,51510,physics
Nancy,Schneider,001-632-457-8836x115,dthompson@johnson.net,head teacher,2001-04-14,64631,physics
Jason,Simmons,001-957-357-4055,brian95@gmail.com,teacher,2006-04-23,29288,p-e
Stephanie,Black,+1-493-722-3408x55804,dsnyder@yahoo.com,teacher,2014-06-13,79934,english
Cheryl,Johnson,687.041.3949x764,curtismurray@gillespie.com,teacher-in-training,2001-12-30,49661,physics
Shelly,Walker,(720)705-5006,paul45@yahoo.com,head teacher,2001-10-10,48092,history
Brenda,Larson,902.878.6946,tbell@gmail.com,teacher-in-training,2018-08-24,33585,geography
John,Brock,(200)089-6612x6009,vickimckinney@hotmail.com,head teacher,2020-05-24,71177,geography
Adam,Reynolds,2916071622,klowe@porter.net,teacher,2016-03-24,75201,history
Andrea,Reed,5045462133,dunngabriel@ramirez-nguyen.com,head teacher,2012-03-10,27143,history
Bridget,Collins,364.227.3571x27377,brownclayton@yahoo.com,teacher-in-training,2007-05-11,78222,spanish
Linda,Roberts,815.303.0472x5271,thomas80@hotmail.com,teacher-in-training,2018-06-01,68858,english
Derek,Mendez,(722)445-2446,woodjames@fernandez-yang.com,head teacher,1999-01-03,57492,history
Jeremy,Flowers,993-087-2034x742,lward@brown.com,head teacher,1999-07-03,76875,spanish
Alan,Ryan,001-457-848-8517x7992,ohunter@hotmail.com,teacher-in-training,2016-11-03,35025,geography
Alexander,Coleman,001-144-821-2400x35433,myerscarla@mason-white.net,head teacher,2010-01-21,49831,history
